Structure,Y
Cl.Cc1ccc(cc1S(=O)(=O)c2nc(cs2)c3cnc4ccc(Cl)cn34)[N+](=O)[O-],0.0028
Cc1nc(N)nc2N(CC3CCOC3)C(=O)C(=Cc12)c4cnc5[nH]ccc5c4,0.0028
CC(C)N1C(=O)C(=Cc2c(C)nc(N)nc12)C(=O)Nc3ccn[nH]3,0.0029
COc1ccc(cn1)C2=Cc3c(C)nc(N)nc3N(C4CCCC4)C2=O,0.00296
CN(C)Cc1cc2nc(nc(N3CCOCC3)c2s1)c4cccc(O)c4,0.003
COc1ccc(cc1)S(=O)(=O)Nc2cc(cnc2Cl)c3ccc4nc(NC(=O)C)sc4c3,0.003
CCOC(=O)N1CCC(CC1)NC(=O)c2cn3cc(nc(N4CCOCC4)c3n2)c5cnc(N)nc5,0.003
C[C@@H]1CN(C[C@H](C)N1Cc2cn3cc(nc(N4CCOCC4)c3n2)c5cnc(N)nc5)S(=O)(=O)C,0.003
COc1ccc(cc1OC)c2c[nH]c3ncc(cc23)c4cncc(NS(=O)(=O)c5ccc(F)cc5F)c4,0.003
CN(C)C[C@@H]1CCN([C@@H]1C(=O)N)C(=O)Nc2nc3COc4cnc(cc4c3s2)C(C)(C)C,0.003
CCNc1nc(C)c2C=C(C(=O)N(C3CCCC3)c2n1)c4ccc(O)c(OC)c4,0.00308
Cc1nc(N)nc2N(C3CCCC3)C(=O)C(=Cc12)c4cccc(CO)c4,0.0031
COc1ncc(cc1F)C2=Cc3c(C)nc(N)nc3N([C@@H]4C[C@H](C4)OCCO)C2=O,0.00311
CC[C@]1(C)OCCn2c1nc3c(nc(nc23)c4cnc(N)nc4)N5CCOCC5,0.00311
CC(=O)Nc1nc2ccc(cc2s1)c3cnc(Cl)c(NS(=O)(=O)C4CCCCC4)c3,0.0032
CC(=O)Nc1nc2ccc(cc2s1)c3cnc(Cl)c(NS(=O)(=O)c4cc(Cl)cc(Cl)c4)c3,0.0032
CC(C)N1CCC[C@H](C1)C2CCN2c3ccc4c(OCCn5cc(nc45)c6nc(C)nn6C(C)C)c3,0.00341
Nc1ncc(cn1)c2nc(N3CCOCC3)c4nc5[C@H](OCCn5c4n2)C(F)(F)F,0.00345
C[C@@H]1CCN([C@@H]1C(=O)N)C(=O)Nc2nc3CCc4cnc(nc4c3s2)C(C)(C)C,0.0035
Nc1ncc(cn1)c2nc(N3CCOCC3)c4nc5[C@@H](OCCn5c4n2)C(F)(F)F,0.00357
Cl.Oc1cccc(c1)c2nc(N3CCOCC3)c4oc5ncccc5c4n2,0.0036
CC(=O)Nc1nc2ccc(cc2s1)c3cnc(Cl)c(NS(=O)(=O)c4ccc(cc4)C(C)(C)C)c3,0.0036
COc1ncc(cn1)C2=Cc3c(C)nc(N)nc3N([C@@H]4CC[C@@H](CC4)OCC(=O)N)C2=O,0.00362
CN1CCCCC1C2CCCN2c3cc4OCCn5cc(nc5c4cn3)c6nc(C)nn6CC(F)(F)F,0.003665
Cc1nc(N)nc2N(C3CCOCC3)C(=O)C(=Cc12)c4cnc5[nH]ccc5c4,0.0037
CC(=O)Nc1nc2ccc(cc2s1)c3cnc(C)c(NS(=O)(=O)c4ccccc4)c3,0.0038
CC(=O)Nc1nc2ccc(cc2s1)c3cncc(NS(=O)(=O)c4cccc(F)c4)c3,0.0038
COc1ccc(cn1)C2=Cc3c(C)nc(N)nc3N([C@@H]4CC[C@@H](CC4)OCC(=O)N)C2=O,0.00387
Nc1ncc(cn1)c2nc(N3CCOCC3)c4nc5CCCCn5c4n2,0.00388
CC1(C)OCCn2c1nc3c(nc(nc23)c4cnc(N)cc4C(F)(F)F)N5CCOCC5,0.00389
Cc1nc(N)nc2N(C3CCOCC3)C(=O)C(=Cc12)c4cccc(CO)c4,0.0039
CCn1nccc1NC(=O)C2=Cc3c(C)nc(N)nc3N(C(C)C)C2=O,0.0039
CO[C@@H]1CC[C@H](CC1)N2C(=O)C(=Cc3c(C)nc(N)nc23)c4ccc(OC)nc4,0.0039
Cc1nc(N)nc2N([C@@H]3CC[C@@H](O)CC3)C(=O)C(=Cc12)c4ccc5OCCOc5c4,0.004
CCNc1nc(C)c2C=C(CCCO)C(=O)N(C3CCCC3)c2n1,0.004
COCCN(C)Cc1cc2nc(nc(N3CCOCC3)c2s1)c4cccc(O)c4,0.004
[2H]C([2H])([2H])C([2H])([2H])N(c1cncc(n1)c2sc(NC(=O)N3CC[C@@H](C)[C@H]3C(=O)N)nc2C)C([2H])([2H])C([2H])([2H])[2H],0.004
CC(C)(C)c1ncc2CCc3nc(NC(=O)N4CCC[C@H]4C(=O)N)sc3c2n1,0.004
CC(C)(C)c1ncc2CCc3nc(NC(=O)N4CC[C@@H](CN5CCOCC5)[C@H]4C(=O)N)sc3c2n1,0.004
C[C@@H]1CCN([C@@H]1C(=O)N)C(=O)Nc2nc3CCc4sc(nc4c3s2)C(C)(C)C(F)(F)F,0.004
CN(C)[C@@H]1C[C@H](N(C1)C(=O)Nc2nc3CCc4cnc(nc4c3s2)C(C)(C)C)C(=O)N,0.004
CC(=O)Nc1nc2ccc(cc2s1)c3cnc(C)c(NS(=O)(=O)c4ccc(F)cc4)c3,0.0041
COc1ncc(cn1)C2=Cc3c(C)nc(N)nc3N([C@@H]4CC[C@H](CC4)OCC(=O)N)C2=O,0.00411
CC1NC(=O)Cn2c1nc3c(nc(nc23)c4cnc(N)nc4)N5CCOCC5,0.00428
COc1ccc(cn1)C2=Cc3c(C)nc(N)nc3N(C4CCC(=O)CC4)C2=O,0.0043
Nc1ncc(cn1)c2nc(N3CCOCC3)c4nc5COCCn5c4n2,0.00432
COc1ncc(cn1)C2=Cc3c(C)nc(N)nc3N([C@@H]4CC[C@H](O)CC4)C2=O,0.0044
COc1ncc(cc1F)C2=Cc3c(C)nc(N)nc3N(N4CCCC4)C2=O,0.0045
[2H]C([2H])([2H])C(c1nccc(n1)c2sc(NC(=O)N3CC[C@@H](C)[C@H]3C(=O)N)nc2C)(C([2H])([2H])[2H])C([2H])([2H])[2H],0.0045
CCN(CC)c1ncc2CCc3nc(NC(=O)N4C[C@H](O)C[C@H]4C(=O)N)sc3c2n1,0.0045
CC1(C)OCCn2c1nc3c(nc(nc23)c4cccc(O)c4)N5CCOCC5,0.00458
COc1ccc(cn1)C2=Cc3c(C)nc(N)nc3N([C@@H]4CC[C@@H](O)C4)C2=O,0.0046
CNc1nc(C)c2C=C(C(=O)N(CC3CCOC3)c2n1)c4ccc(OC)nc4,0.0046
COc1ccc(cn1)C2=Cc3c(C)nc(N)nc3N([C@@H]4C[C@H](C4)OCC(=O)N)C2=O,0.00472
CC1=COC(C)(C)c2nc3c(nc(nc3n12)c4cnc(N)nc4)N5CCOCC5,0.00473
CNc1nc(C)c2C=C(C(=O)N(C3CCCC3)c2n1)c4cccc(CO)c4,0.00478
Nc1nc2ccc(cc2s1)c3cnc(Cl)c(NS(=O)(=O)c4ccc(F)cc4)c3,0.0048
COc1ccc(cn1)C2=Cc3c(C)nc(N)nc3N([C@@H]4CC[C@H](CC4)OCCO)C2=O,0.00485
CC(=O)Nc1nc2ccc(cc2s1)c3cnc(Cl)c(NS(=O)(=O)c4ccc(F)cc4)c3,0.0049
CC(=O)Nc1nc2ccc(cc2s1)c3cnc(Cl)c(NS(=O)(=O)c4ccc(Cl)cc4)c3,0.0049
CC(=O)Nc1nc2ccc(cc2s1)c3cnc(Cl)c(NS(=O)(=O)c4ccc(cc4)C(F)(F)F)c3,0.0049
CNc1nc(C)c2C=C(C(=O)Nc3ccon3)C(=O)N(C4CCCC4)c2n1,0.005
CC(=O)Nc1nc2ccc(cc2s1)c3cnc(Cl)c(O)c3,0.005
CC(=O)Nc1cn2nc(ccc2n1)c3cnc(Cl)c(NS(=O)(=O)c4ccc(F)cc4Cl)c3,0.005
CC(C)(C)c1ncc2CCc3nc(NC(=O)N4CCC[C@@]4(C)C(=O)N)sc3c2n1,0.005
CN(C)C[C@@H]1CCN([C@@H]1C(=O)N)C(=O)Nc2nc3CCc4cnc(nc4c3s2)C(C)(C)C,0.005
CN(C)C[C@@H]1CCN([C@@H]1C(=O)N)C(=O)Nc2nc3CCc4sc(nc4c3s2)C(C)(C)C,0.005
CCNc1nc(C)c2C=C(C(=O)N(C3CCCC3)c2n1)c4ccc(OC)nc4,0.00503
